date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-10-23|13:57:39|2018 Honda Accord|Carmax|23000.0
2023-10-23|14:32:14|iphone|apple|1200.0
2023-10-23|14:33:34|jjd|ss|-30.0
2023-10-23|14:36:36|Honda|Carmax|-23000.0
2023-10-23|14:42:42|iphone|apple|-900.00
2023-10-23|16:28:45|steak|walmart|-25.65
2023-10-23|16:36:51|invoice 1011|carlos|1200.00
2023-10-23|16:38:29|invoice 1251|jason|1200.00
2023-10-23|16:44:09|invoice 1566|louis|1200.00
2023-10-23|16:45:42|invoice 1256|l|456.00
2023-10-23|16:49:22|invoice 5689|joshua|1256.00
2023-10-23|16:50:47|invoice 26|elora|1514.00
2023-10-23|17:06:37|cad|fsd|125.00
2023-10-23|17:07:34|ssf|fsf|1256.00
2023-10-23|17:09:04||22|-22.00
2023-10-23|17:12:04|ss|22|22.00
2023-10-23|17:15:42|sfsfs|sfs|2221.00
